nombre_de_usuario,genero,edad,pais,tipo_de_subscripcion,tiempo_de_escucha,canciones_escuchadas_por_dia,omision,tipo_de_dispositivo,anuncios_escuchados_por_semana,escucha_sin_conexion,cancelado
139,femenino,50,canada,familiar,261,20,0.39,computador,0,1,1
140,otro,55,estados unidos,gratis,201,50,0.5,computador,27,0,1
141,femenino,56,australia,gratis,40,84,0.56,web,49,0,0
142,otro,18,australia,pago,30,78,0.42,celular,0,1,0
143,masculino,29,canada,estudiante,109,88,0.45,web,0,1,1
144,femenino,28,reino unido,pago,154,19,0.48,computador,0,1,1
145,masculino,24,pakistan,familiar,223,31,0.09,celular,0,1,0
146,otro,44,australia,familiar,52,17,0.2,computador,0,1,0
147,otro,18,india,familiar,195,94,0.49,computador,0,1,0
148,otro,38,pakistan,pago,198,78,0.0,computador,0,1,0
149,otro,22,alemania,estudiante,285,2,0.34,computador,0,1,0
150,masculino,34,francia,pago,154,83,0.24,computador,0,1,0
152,masculino,58,estados unidos,estudiante,158,52,0.27,celular,0,1,0
153,femenino,41,pakistan,familiar,154,41,0.59,web,0,1,0
154,femenino,52,reino unido,pago,280,81,0.27,computador,0,1,1
155,masculino,26,india,pago,257,14,0.13,web,0,1,0
156,otro,42,canada,familiar,21,50,0.56,web,0,1,1
157,otro,27,pakistan,gratis,237,27,0.16,web,40,0,0
158,otro,38,alemania,gratis,224,53,0.07,celular,43,0,0
159,otro,24,australia,familiar,216,76,0.28,celular,0,1,0
160,otro,34,canada,pago,137,97,0.32,web,0,1,0
161,otro,28,alemania,gratis,209,84,0.53,web,28,0,0
162,femenino,17,francia,gratis,36,30,0.19,computador,43,0,0
163,otro,50,pakistan,gratis,95,50,0.49,computador,31,0,1
164,masculino,35,australia,pago,298,25,0.11,celular,0,1,1
165,masculino,20,alemania,familiar,224,51,0.23,computador,0,1,1
166,masculino,50,pakistan,gratis,205,43,auto%#,computador,47,1,0
167,masculino,23,francia,estudiante,95,31,0.37,web,0,1,0
168,otro,20,reino unido,gratis,289,17,0.28,computador,35,0,0
169,masculino,51,canada,pago,168,28,auto%#,web,0,1,0
170,femenino,18,pakistan,gratis,211,48,0.48,celular,23,0,1
171,masculino,29,alemania,pago,63,99,0.38,celular,0,1,0
172,masculino,38,alemania,gratis,124,83,0.52,celular,35,0,0
173,otro,51,canada,familiar,275,56,0.05,web,0,1,0
174,masculino,24,pakistan,estudiante,120,38,0.11,celular,0,1,0
175,masculino,20,alemania,gratis,64,20,auto%#,celular,20,0,1
176,femenino,57,reino unido,pago,121,86,0.08,computador,0,1,1
177,otro,16,australia,gratis,154,12,0.34,computador,15,0,0
178,masculino,18,pakistan,familiar,219,54,0.06,web,0,1,0
179,masculino,16,australia,gratis,184,40,0.01,celular,9,0,0
180,femenino,50,reino unido,familiar,154,37,0.25,computador,0,1,1
181,masculino,23,alemania,gratis,55,46,auto%#,computador,7,0,0
182,femenino,53,australia,pago,38,4,0.09,celular,0,1,0
183,masculino,58,canada,pago,281,58,0.16,computador,0,1,0
184,femenino,31,alemania,pago,140,57,0.35,celular,0,1,1
185,femenino,19,estados unidos,estudiante,130,17,0.35,computador,0,1,0
186,femenino,36,estados unidos,estudiante,238,82,0.35,web,0,1,1
187,otro,19,pakistan,pago,295,53,auto%#,web,0,1,1
188,otro,26,india,gratis,265,31,0.41,web,38,0,0
189,masculino,16,estados unidos,estudiante,179,80,0.6,computador,0,1,0
190,otro,49,australia,gratis,198,4,0.1,computador,36,0,0
191,femenino,38,reino unido,pago,180,17,0.08,computador,0,1,0
192,otro,21,alemania,pago,267,89,0.52,web,0,1,0
193,otro,48,canada,gratis,126,22,0.58,celular,45,1,0
194,femenino,38,india,familiar,233,94,0.29,web,0,1,1
195,masculino,59,pakistan,estudiante,154,95,0.59,computador,0,1,1
196,femenino,31,canada,estudiante,100,70,0.43,celular,0,1,0
197,femenino,24,estados unidos,estudiante,240,45,0.53,web,0,1,1
198,masculino,38,reino unido,estudiante,170,95,0.45,celular,0,1,0
199,masculino,53,reino unido,familiar,150,29,0.18,computador,0,1,0
200,otro,31,estados unidos,familiar,203,79,0.15,web,0,1,0
201,femenino,49,australia,gratis,226,31,0.34,computador,32,0,0
202,otro,49,reino unido,pago,31,93,0.03,computador,0,1,0
203,femenino,33,alemania,pago,81,34,0.09,celular,0,1,0
204,otro,59,pakistan,gratis,62,99,0.55,celular,5,0,0
205,femenino,58,australia,gratis,202,22,0.45,celular,36,0,0
206,otro,49,pakistan,gratis,207,33,0.34,web,9,0,1
207,masculino,42,alemania,estudiante,154,38,0.34,web,0,1,0
208,otro,24,australia,pago,154,42,0.56,computador,32,0,1
209,masculino,33,india,pago,168,42,0.12,computador,49,0,0
210,otro,20,india,estudiante,251,79,0.37,web,0,1,0
211,otro,42,india,gratis,222,95,0.04,computador,0,0,0
212,femenino,16,alemania,gratis,74,33,0.12,celular,13,0,0
213,masculino,37,canada,pago,139,71,0.16,computador,0,1,0
214,femenino,26,francia,gratis,160,23,0.06,web,45,0,0
215,otro,46,estados unidos,pago,37,94,0.37,web,0,1,0
216,masculino,36,estados unidos,familiar,199,4,0.12,computador,0,1,0
217,otro,32,francia,gratis,204,87,0.42,computador,14,0,0
218,otro,18,india,familiar,181,67,0.56,computador,0,1,0
219,otro,20,alemania,pago,269,4,0.31,web,0,1,0
220,femenino,19,india,gratis,245,9,0.07,celular,42,0,0
221,otro,34,canada,estudiante,50,54,0.59,web,0,1,0
222,otro,50,alemania,estudiante,272,46,auto%#,web,0,1,0
223,otro,36,francia,familiar,271,26,0.5,web,0,1,0
224,otro,53,alemania,estudiante,252,68,0.04,web,0,1,1
225,femenino,31,pakistan,estudiante,155,2,0.36,computador,0,1,1
226,femenino,40,francia,gratis,66,80,0.34,celular,48,0,1
227,femenino,41,canada,estudiante,51,26,0.19,web,0,1,0
228,masculino,27,reino unido,gratis,174,6,0.54,celular,7,0,0
229,otro,52,alemania,estudiante,165,20,0.01,computador,0,1,1
230,otro,49,australia,pago,73,39,0.11,celular,0,1,0
231,masculino,51,alemania,estudiante,10,11,0.09,web,0,1,0
232,femenino,19,francia,pago,279,26,0.34,web,0,1,0
233,masculino,41,reino unido,gratis,222,4,0.06,celular,26,0,0
234,masculino,49,alemania,pago,39,6,0.54,web,0,1,0
235,masculino,17,francia,pago,40,97,0.08,celular,0,1,1
236,femenino,22,reino unido,pago,254,86,0.45,computador,0,1,1
237,masculino,38,reino unido,familiar,227,23,0.55,celular,0,1,1
238,femenino,19,francia,pago,244,5,0.34,web,0,1,0
239,femenino,37,canada,gratis,113,85,0.23,celular,27,0,1
240,femenino,43,reino unido,gratis,218,6,0.01,celular,15,0,1
241,masculino,29,reino unido,gratis,144,94,0.33,computador,19,0,0
242,femenino,51,canada,pago,143,48,0.09,web,0,1,0
243,masculino,41,canada,pago,110,61,0.44,celular,0,1,0
244,otro,24,francia,familiar,283,90,0.53,web,0,1,0
245,otro,19,pakistan,pago,276,15,0.28,celular,0,1,0
246,masculino,48,india,pago,178,70,0.29,computador,0,1,0
247,otro,37,estados unidos,pago,114,13,0.49,computador,0,1,0
248,femenino,59,estados unidos,gratis,98,24,0.32,celular,8,0,0
249,femenino,54,india,familiar,49,27,0.29,celular,0,1,0
250,femenino,36,australia,pago,28,39,0.27,web,0,1,0
251,otro,58,francia,pago,259,67,0.17,celular,0,1,0
252,otro,20,canada,gratis,279,84,0.43,computador,24,0,0
253,otro,18,australia,pago,154,58,0.09,web,0,1,1
254,femenino,35,alemania,gratis,53,97,0.45,computador,29,0,0
255,masculino,38,reino unido,familiar,255,82,0.19,computador,0,1,0
256,otro,55,canada,pago,154,20,0.01,celular,0,1,0
257,otro,53,australia,gratis,112,33,0.34,celular,30,0,0
259,otro,51,india,pago,91,3,0.49,computador,0,1,0
260,femenino,43,pakistan,gratis,92,18,0.19,celular,25,0,0
261,otro,37,australia,gratis,154,14,0.02,celular,31,0,0
262,masculino,38,estados unidos,pago,259,28,0.19,computador,0,1,1
263,masculino,17,reino unido,estudiante,119,73,0.22,computador,0,1,0
264,masculino,36,india,estudiante,99,92,0.54,web,0,1,1
266,femenino,54,india,pago,299,93,0.27,celular,0,1,1
267,femenino,59,australia,gratis,255,75,0.56,web,38,0,0
268,otro,42,alemania,familiar,157,96,0.48,web,0,1,1
269,otro,36,australia,familiar,176,15,0.11,celular,0,1,0
270,femenino,22,australia,estudiante,146,45,0.44,celular,0,1,0
271,masculino,19,alemania,familiar,211,64,0.15,celular,0,1,0
272,masculino,47,india,pago,191,42,0.52,celular,0,1,1
273,masculino,29,canada,pago,218,72,0.29,celular,0,1,0
274,otro,32,canada,familiar,128,94,0.48,web,0,1,0
275,otro,47,estados unidos,gratis,30,10,0.38,web,0,0,0
276,masculino,30,alemania,familiar,176,17,0.35,celular,0,1,0
277,masculino,23,reino unido,pago,50,45,auto%#,celular,0,1,0
278,otro,37,francia,gratis,267,72,0.12,computador,38,0,0
279,otro,17,australia,estudiante,154,84,0.45,web,0,1,0
280,femenino,45,estados unidos,familiar,134,92,0.31,celular,0,1,0
281,femenino,42,australia,estudiante,282,57,0.31,celular,0,1,0
282,masculino,42,estados unidos,pago,52,55,0.05,web,0,1,1
283,otro,31,australia,pago,97,37,0.59,web,0,1,0
284,femenino,53,india,gratis,58,63,0.45,celular,45,0,0
285,otro,47,australia,pago,126,71,0.29,computador,0,1,1
286,femenino,40,francia,pago,172,48,auto%#,web,0,1,0
287,femenino,35,pakistan,gratis,258,36,0.2,computador,24,0,1
288,femenino,33,india,gratis,291,31,0.29,computador,39,0,0
289,otro,44,alemania,gratis,27,96,0.04,computador,27,1,1
290,otro,41,reino unido,familiar,262,32,0.47,computador,0,1,0
291,masculino,32,alemania,pago,52,52,0.47,computador,0,1,1
292,otro,20,canada,estudiante,108,26,0.17,web,0,1,0
293,masculino,51,estados unidos,pago,235,5,0.28,computador,0,1,0
294,femenino,25,estados unidos,estudiante,213,36,0.28,web,0,1,0
295,otro,32,pakistan,pago,169,6,0.13,web,0,1,1
297,masculino,34,alemania,pago,293,30,0.16,computador,0,1,0
298,masculino,45,alemania,pago,99,84,0.58,web,0,1,1
299,femenino,45,estados unidos,estudiante,194,40,0.34,computador,0,1,0
300,otro,50,estados unidos,pago,126,86,0.52,celular,0,1,0
302,femenino,55,pakistan,gratis,210,32,0.15,web,29,0,1
303,femenino,32,estados unidos,gratis,134,71,0.43,celular,14,0,0
304,masculino,48,reino unido,pago,62,25,0.53,web,0,1,0
305,otro,36,estados unidos,pago,183,29,0.53,web,0,1,0
306,otro,39,alemania,pago,279,97,0.36,celular,0,1,0
307,masculino,59,canada,pago,159,48,0.21,celular,0,1,1
308,masculino,23,australia,pago,187,22,0.14,computador,0,1,1
309,otro,41,reino unido,familiar,57,3,0.41,celular,0,1,0
310,femenino,31,francia,familiar,133,88,0.07,computador,0,1,0
311,masculino,48,india,estudiante,168,78,0.41,computador,0,1,0
312,femenino,21,australia,familiar,251,47,0.55,celular,0,1,0
313,otro,18,australia,familiar,71,18,0.0,web,0,1,0
314,femenino,25,australia,estudiante,178,84,0.32,computador,0,1,0
315,masculino,56,india,estudiante,206,64,0.1,celular,0,1,1
316,masculino,34,francia,gratis,36,12,0.22,celular,44,0,0
317,otro,25,canada,familiar,122,69,0.09,web,0,1,0
318,masculino,24,pakistan,pago,158,51,0.26,web,0,1,0
319,otro,41,francia,estudiante,223,79,0.05,celular,0,1,0
320,masculino,38,india,estudiante,251,65,0.44,computador,0,1,0
321,otro,19,estados unidos,familiar,294,5,0.44,web,0,1,0
322,otro,25,india,estudiante,154,2,0.34,web,0,1,1
323,masculino,55,india,familiar,218,58,0.36,computador,0,1,0
324,masculino,17,reino unido,gratis,49,26,0.54,computador,12,0,0
325,femenino,50,francia,estudiante,66,13,0.58,celular,0,1,1
326,otro,39,alemania,gratis,295,20,0.09,celular,21,0,1
327,masculino,26,australia,estudiante,131,98,0.24,computador,0,1,0
328,otro,34,reino unido,gratis,203,10,0.1,computador,42,0,0
329,femenino,32,canada,pago,154,38,0.44,computador,0,1,0
330,femenino,40,canada,estudiante,59,35,0.37,computador,0,1,0
331,masculino,32,estados unidos,familiar,119,39,0.45,web,0,1,0
332,femenino,51,canada,pago,219,50,0.51,web,0,1,1
333,masculino,46,canada,familiar,152,83,0.58,celular,0,1,0
334,femenino,51,canada,pago,157,9,0.57,web,0,1,0
335,femenino,38,canada,gratis,89,59,0.15,celular,21,0,0
336,femenino,54,francia,familiar,63,68,0.21,celular,0,1,0
337,masculino,59,reino unido,pago,93,36,0.39,computador,0,1,0
338,otro,38,australia,estudiante,97,78,0.02,web,0,1,0
339,otro,34,india,pago,289,79,0.09,computador,0,1,0
340,femenino,55,india,familiar,291,39,0.3,celular,0,1,1
341,femenino,38,reino unido,familiar,291,70,0.22,computador,0,1,0
342,femenino,20,reino unido,estudiante,218,76,0.34,web,0,1,1
343,femenino,20,canada,pago,56,55,0.18,web,0,1,0
344,masculino,32,india,estudiante,157,12,0.48,computador,0,1,1
345,femenino,38,alemania,estudiante,154,65,0.52,web,0,1,1
346,otro,50,canada,familiar,16,64,0.05,web,0,1,0
347,femenino,21,alemania,familiar,207,21,0.18,web,0,1,1
348,masculino,48,australia,pago,123,37,0.27,web,0,1,0
349,masculino,46,india,pago,55,48,0.47,web,0,1,1
350,otro,44,australia,gratis,49,43,0.25,computador,5,0,0
351,femenino,38,pakistan,gratis,62,57,0.58,web,7,0,0
352,femenino,57,australia,estudiante,85,32,0.0,computador,0,1,0
353,otro,41,canada,familiar,78,33,0.04,computador,0,1,0
354,masculino,50,canada,gratis,107,7,auto%#,computador,27,0,1
355,otro,32,francia,gratis,202,29,0.14,web,0,0,0
356,masculino,51,pakistan,familiar,211,25,0.51,celular,0,1,0
357,femenino,26,francia,gratis,73,27,0.19,web,26,0,1
358,masculino,22,pakistan,pago,229,70,0.02,computador,0,1,0
359,otro,19,reino unido,gratis,164,21,0.53,computador,8,0,0
360,femenino,49,alemania,familiar,61,33,0.48,computador,0,1,1
361,masculino,56,india,gratis,164,66,0.3,computador,34,0,0
362,otro,39,pakistan,gratis,232,2,0.14,celular,27,0,0
363,otro,57,pakistan,estudiante,146,98,0.06,celular,0,1,1
364,otro,18,australia,pago,42,27,0.22,web,0,1,1
365,masculino,43,canada,gratis,265,89,0.56,computador,28,0,0
366,femenino,32,estados unidos,familiar,275,47,0.59,celular,0,1,1
367,otro,33,estados unidos,estudiante,295,1,0.03,computador,0,1,1
368,otro,16,india,gratis,269,13,0.54,computador,40,0,0
369,otro,50,francia,familiar,224,18,0.09,computador,0,1,0
370,femenino,42,pakistan,gratis,51,60,0.22,computador,17,1,0
371,otro,49,reino unido,familiar,100,49,0.37,computador,0,1,1
372,femenino,35,francia,pago,267,63,0.6,web,0,1,0
373,masculino,54,india,gratis,102,35,0.06,celular,40,0,0
374,masculino,44,pakistan,pago,84,64,0.57,web,23,0,1
375,femenino,21,francia,gratis,289,92,0.2,celular,27,0,1
376,masculino,44,francia,familiar,173,30,0.38,computador,0,1,0
377,masculino,38,australia,familiar,42,77,0.34,web,0,1,0
378,otro,53,australia,familiar,261,76,0.41,computador,0,1,0
379,otro,39,estados unidos,gratis,163,2,0.03,web,38,0,1
380,otro,26,australia,estudiante,175,9,0.37,web,0,1,0
381,femenino,35,alemania,estudiante,259,50,0.48,celular,0,1,1
382,otro,51,pakistan,pago,103,58,0.34,celular,0,1,0
383,otro,55,alemania,familiar,148,52,0.43,computador,0,1,0
384,masculino,45,pakistan,pago,50,19,0.02,celular,0,1,0
385,femenino,53,pakistan,familiar,187,27,0.11,computador,0,1,1
386,femenino,16,alemania,estudiante,154,48,0.52,web,0,1,0
387,masculino,32,francia,gratis,51,70,0.38,web,19,0,0
388,otro,26,francia,gratis,146,4,0.59,celular,16,1,0
389,femenino,48,reino unido,gratis,210,60,0.05,computador,42,0,1
390,otro,59,reino unido,familiar,58,55,0.25,web,0,1,0
391,femenino,42,india,familiar,124,11,0.16,celular,0,1,0
392,femenino,38,india,estudiante,273,80,0.26,celular,0,1,1
393,femenino,53,pakistan,gratis,49,74,0.47,celular,19,0,0
394,femenino,38,estados unidos,estudiante,119,73,0.11,web,0,1,0
395,femenino,58,canada,estudiante,225,10,0.08,web,0,1,0
397,otro,36,alemania,familiar,21,50,0.28,web,0,1,0
398,femenino,53,reino unido,estudiante,154,66,0.25,celular,0,1,1
400,masculino,43,francia,familiar,272,5,0.24,computador,0,1,0
401,femenino,26,estados unidos,pago,228,24,0.12,celular,0,1,0
402,masculino,23,australia,estudiante,131,23,0.32,computador,0,1,0
403,femenino,40,pakistan,estudiante,103,39,0.08,web,0,1,1
404,femenino,37,canada,gratis,152,87,0.57,computador,23,0,0
405,masculino,33,pakistan,familiar,261,18,0.28,computador,0,1,1
406,otro,26,estados unidos,familiar,276,46,0.2,celular,0,1,1
407,otro,43,australia,familiar,58,50,0.37,computador,0,1,0
408,otro,46,canada,pago,118,98,0.53,web,0,1,0
409,masculino,23,australia,gratis,256,83,0.17,celular,29,0,0
410,femenino,30,canada,gratis,84,22,0.25,celular,5,0,0
411,femenino,32,australia,pago,51,8,0.29,computador,0,1,0
412,femenino,29,australia,gratis,107,23,0.52,web,17,0,1
413,otro,19,estados unidos,gratis,154,61,0.31,computador,18,0,0
414,masculino,19,australia,pago,264,89,0.35,web,0,1,0
415,masculino,24,francia,pago,227,97,0.03,web,0,1,0
416,otro,16,reino unido,gratis,97,86,0.15,computador,26,0,0
417,masculino,44,canada,pago,168,40,0.56,celular,0,1,1
418,masculino,42,reino unido,pago,23,66,auto%#,computador,0,1,0
419,femenino,55,francia,pago,271,98,0.5,computador,0,1,1
420,otro,38,reino unido,pago,104,59,0.01,web,0,1,1
421,masculino,30,australia,gratis,251,59,0.11,computador,28,0,0
422,femenino,20,canada,estudiante,154,75,0.25,computador,0,1,0
423,femenino,40,australia,estudiante,281,77,0.38,web,0,1,0
424,femenino,58,francia,gratis,93,50,0.18,celular,39,0,0
425,otro,20,australia,familiar,146,74,0.34,web,0,1,0
426,masculino,43,alemania,pago,170,73,0.48,computador,0,1,0
427,otro,37,estados unidos,pago,40,91,0.57,celular,0,1,0
428,otro,48,india,estudiante,171,31,0.4,computador,0,1,0
429,otro,53,pakistan,familiar,36,67,0.21,celular,0,1,0
430,otro,25,canada,gratis,274,57,0.05,web,38,0,0
431,femenino,51,canada,familiar,79,71,0.11,computador,0,1,0
432,otro,42,reino unido,familiar,91,81,0.52,celular,0,1,0
433,otro,50,pakistan,pago,69,20,0.13,celular,0,1,1
434,otro,56,francia,familiar,14,93,0.07,computador,0,1,1
435,femenino,47,estados unidos,pago,55,7,0.54,web,0,1,0
436,masculino,41,estados unidos,gratis,88,50,0.3,web,48,0,0
437,masculino,20,india,pago,236,78,0.35,celular,0,1,0
438,masculino,57,india,gratis,214,85,0.58,computador,17,0,0
